term	beta	se	stat	p	OR	conf.low	conf.high	model	cluster	mean_prop_ASD	mean_prop_Control	effect_prop_ASD_minus_Control	n_donors	n_ASD	n_Control	covariates	n_complete	fdr
dxASD	-0.62972248980078	0.149192295715749	-4.22087807402983	0.000110377371869087	0.532739621173551	0.397667365029072	0.713690709689968	quasibinomial_adjusted	10	0.0204797770278207	0.0311455747166063	-0.0106657976887856	52	28	24	age+pmi+rin	52	0.00209717006551265
dxASD	-0.440874943058014	0.152255420431469	-2.89562724143837	0.00592565050879252	0.643473172328632	0.477450128664309	0.867227169181043	quasibinomial_adjusted	6	0.0305538086984461	0.0429504216310609	-0.0123966129326148	48	25	23	age+pmi+rin	48	0.0443414717472674
dxASD	-0.553837556259867	0.193623668446895	-2.86038148487909	0.00700128501272643	0.574739975918058	0.393238120343888	0.840015305813737	quasibinomial_adjusted	17	0.00593927353624098	0.00945976086362234	-0.00352048732738136	41	22	19	age+pmi+rin	41	0.0443414717472674
dxASD	-0.728913201424115	0.283212731155534	-2.57373034909158	0.0137735071137298	0.482433012796326	0.276924560545346	0.84045131777912	quasibinomial_adjusted	12	0.0134550890088753	0.023289553584814	-0.00983446457593867	46	25	21	age+pmi+rin	46	0.0565412532291807
dxASD	-0.479519858628752	0.188603038792706	-2.54248214502946	0.0148792771655739	0.619080566649647	0.42776477967972	0.895961440047044	quasibinomial_adjusted	13	0.0163059955230131	0.0195689297363732	-0.00326293421336014	46	22	24	age+pmi+rin	46	0.0565412532291807
dxASD	-0.366767549001597	0.179458904931481	-2.04374115144429	0.0474395185633721	0.692970708056989	0.487479518545264	0.98508426294102	quasibinomial_adjusted	15	0.0139945389731786	0.0145704723946862	-0.000575933421507639	46	23	23	age+pmi+rin	46	0.150225142117345
dxASD	1.15344949371739	0.685681493400468	1.68219429110905	0.0991645394675717	3.16910588759328	0.826557136575582	12.1506810386846	quasibinomial_adjusted	7	0.0513619850685294	0.0581398326197625	-0.00677784755123309	52	26	26	age+pmi+rin	52	0.228624001570894
dxASD	1.13006292981812	0.699328750659148	1.61592516931842	0.116243605046911	3.09585131535502	0.786139185474272	12.1916011106904	quasibinomial_adjusted	11	0.0177870595624088	0.00962019846618363	0.00816686109622515	36	19	17	age+pmi+rin	36	0.228624001570894
dxASD	0.342821698162768	0.215238624184819	1.59275176312406	0.117053296577917	1.40891752694572	0.923997414744918	2.14832700401316	quasibinomial_adjusted	0	0.369953576214004	0.325119902045371	0.0448336741686329	59	31	28	age+pmi+rin	59	0.228624001570894
dxASD	0.355876678206691	0.225105987106268	1.58092942254214	0.120328421879418	1.42743150399612	0.918208255247735	2.21906162023221	quasibinomial_adjusted	2	0.130971835279455	0.0829545006973854	0.04801733458207	54	29	25	age+pmi+rin	54	0.228624001570894
dxASD	-0.245284467613527	0.166366827857988	-1.47435922636514	0.146653838601468	0.782481915815714	0.564754898334533	1.08414809749193	quasibinomial_adjusted	4	0.0491782049582245	0.0815576359414706	-0.0323794309832461	55	28	27	age+pmi+rin	55	0.253311175766172
dxASD	-0.359348967347287	0.257172255043069	-1.39730845882697	0.169659352005667	0.698130684025212	0.421722996348824	1.15570281013173	quasibinomial_adjusted	9	0.0321161981478398	0.0354698707407451	-0.00335367259290523	47	23	24	age+pmi+rin	47	0.268627307342306
dxASD	-0.22207392573367	0.168972792094898	-1.31425848493377	0.195137377200406	0.800856158267196	0.575071672434973	1.11528808838522	quasibinomial_adjusted	8	0.0301663340479204	0.0296793754194818	0.000486958628438578	52	27	25	age+pmi+rin	52	0.285200782062131
dxASD	0.242347084498401	0.206497978119981	1.17360512051886	0.246594116566356	1.27423638376905	0.850110487529118	1.90996157033671	quasibinomial_adjusted	5	0.0278257252007803	0.0290762437003873	-0.001250518499607	51	27	24	age+pmi+rin	51	0.334663443911483
dxASD	-0.376171075998944	0.362964613255865	-1.03638498702288	0.305440171377534	0.68648488190912	0.337030543912913	1.3982753243028	quasibinomial_adjusted	1	0.17173066545536	0.203901316587168	-0.0321706511318077	51	26	25	age+pmi+rin	51	0.378279797135511
dxASD	-0.203281063894808	0.201197030380455	-1.0103581723369	0.318551408114115	0.816048847322538	0.550115378623648	1.21053827450265	quasibinomial_adjusted	16	0.00951343537846741	0.011221690056263	-0.0017082546777956	44	21	23	age+pmi+rin	44	0.378279797135511
dxASD	-0.237522972674502	0.292633602866347	-0.811673609414518	0.421449458331589	0.788578775009474	0.444375730611798	1.39939344468542	quasibinomial_adjusted	14	0.0165761072155675	0.0175204228220944	-0.000944315606526903	48	24	24	age+pmi+rin	48	0.47103174754707
dxASD	-0.187729605936645	0.292778388856707	-0.641200351807811	0.524507093772306	0.828838790024288	0.466930316292016	1.47125537982695	quasibinomial_adjusted	3	0.0996659047695417	0.0953608461708049	0.00430505859873678	52	27	25	age+pmi+rin	52	0.553646376759657
dxASD	-0.0256854481361902	0.274003264595719	-0.0937413945563312	0.925820381031147	0.974641616733973	0.569650737750896	1.66755911669724	quasibinomial_adjusted	18	0.0069965156480735	0.0129711846197658	-0.00597466897169229	42	20	22	age+pmi+rin	42	0.925820381031147
