cluster	core_microglia_score_z	risk_lipid_phago_score_z
0	1.69485876309871	0.788355015426908
1	0.0128622884669204	-0.406341673829937
2	2.13090488456314	0.696684819452818
3	0.0352151901242937	-0.22655340132805
4	0.347136109432274	-0.0491945670076567
5	-0.280044164377812	1.64269743499314
6	0.73417845021058	-0.0755228822810985
7	0.804489638197449	0.533567870946138
8	-0.436797700007746	-0.401864595092546
9	-1.2605547488506	-0.861850552136647
10	-1.18685207309328	-0.603485683710619
11	0.303640579216518	0.901617157440968
12	-0.306218143475359	-0.0251791631730115
13	-0.43526475773288	-0.425022002539252
14	-0.491163284281771	-0.285182210075953
15	-0.399937176172607	-0.733755457486381
16	-0.522780740330358	-0.658935523077685
17	-0.137540096496751	-0.013774984644875
18	-0.606133018490722	0.203740398123743
