gene	cell_logFC	cell_FDR	pb_logFC	pb_FDR	pct_cluster2	pct_cluster0
PTPRC	0.276231414043929	3.87365383096293e-69	0.248725195781815	3.01531545264659e-07	0.806	0.535
PICALM	0.308039566129143	4.85674662568881e-69	0.242889565731414	6.73450100874347e-07	0.925	0.706
BMP2K	0.245306547328998	2.13883227898536e-45	0.212087087883979	7.03044673478985e-07	0.9	0.694
PLXDC2	0.232960479465327	1.10940220427123e-81	0.166063026756804	1.93337471802983e-06	0.995	0.975
SRGAP2	0.323989663061134	7.81198823360201e-79	0.21740621200548	2.56677138828027e-06	0.959	0.8
MEF2A	0.236587828209947	1.43683602008805e-54	0.172673153296129	8.02437458125043e-06	0.979	0.87
TCF12	0.243893959207626	7.47511287507107e-50	0.21871823889544	8.80915429258441e-06	0.933	0.755
SRGAP2B	0.327425829800532	7.77153846157964e-81	0.244527930471468	1.31057353792185e-05	0.886	0.636
ARHGAP24	0.353506295532927	5.01977897927239e-72	0.23766494485095	1.53834690996389e-05	0.965	0.833
RAP1A	0.282284687667038	5.68510182473476e-80	0.222201480750242	2.02497550852627e-05	0.746	0.449
SOCS6	0.317886586840222	3.76979043308886e-94	0.273360537640329	2.9725244612708e-05	0.562	0.3
FGD4	0.304006842417608	1.78016312475028e-74	0.211581246053351	2.98759335231534e-05	0.867	0.604
BNC2	0.337997282114646	8.18412478108633e-81	0.271671196218087	3.51861886505929e-05	0.756	0.482
SLC9A9	0.233397756685267	7.04286195941121e-46	0.169768492004121	3.62322288984029e-05	0.953	0.804
TGFBR1	0.193411782773448	1.44883861394173e-43	0.250989832208122	3.67274482792791e-05	0.646	0.424
SPRED1	0.252341340649679	9.4442289859416e-57	0.217960839962763	4.05634238286585e-05	0.768	0.507
MAML2	0.25785383330989	5.68563175635949e-57	0.209549920124628	4.37928584425579e-05	0.962	0.811
IL6ST	0.357722961417882	1.98451278494364e-90	0.216189881722027	4.85625252566404e-05	0.691	0.416
GNB4	0.230521323121982	4.00207728012868e-73	0.254031247198613	5.94341833751262e-05	0.651	0.377
FAM49B	0.270599654651258	4.95941664930554e-63	0.190642690393836	7.12078883222412e-05	0.933	0.739
PIK3AP1	0.226674556049444	1.26798683359592e-72	0.226998472929726	9.18509834164483e-05	0.648	0.377
SRGAP2C	0.306877026477602	3.04016891978482e-86	0.229090309937089	9.75669792896744e-05	0.795	0.495
SAMSN1	0.171577062855234	8.71392135070759e-45	0.209985759296534	9.75669792896744e-05	0.748	0.498
BLNK	0.335819065061383	4.64690630609838e-95	0.231605614483852	0.00010108194813174	0.679	0.394
PLA2G4A	0.240330296031716	1.2162643129912e-83	0.309862139544439	0.000107009973450861	0.449	0.229
TLR2	0.285298165533711	2.43565358712648e-56	0.298701486851938	0.000109510806440548	0.542	0.334
GAB2	0.307723008905437	1.9477270109287e-69	0.204630711828278	0.00011926468922407	0.855	0.587
WASHC4	0.240157256658379	1.0731227428753e-89	0.222807927866577	0.000147798876660566	0.581	0.309
ST8SIA4	0.254075676317672	1.14837057999336e-70	0.254296467593499	0.000156553178016979	0.567	0.325
FAM13A	0.19012812526719	8.87905797256595e-52	0.203821897989515	0.000161856899826749	0.624	0.388
APBB1IP	0.303085390615082	4.83161977369081e-71	0.157944228430166	0.000164652615090967	0.965	0.798
B3GNT5	0.277000125337514	3.8701951975095e-93	0.283473460262177	0.00019487214237968	0.566	0.3
DOCK4	0.284400989658502	1.34400198224733e-65	0.180888858288449	0.000195444213895036	0.992	0.94
ZEB2	0.180889360741421	1.33800450256058e-29	0.163750953424748	0.000198722959073986	0.917	0.734
SRGAP1	0.364156681043609	2.80604493019897e-78	0.226039486185317	0.000208159615129604	0.74	0.482
MAML3	0.300722888268431	5.3215362549932e-63	0.180832527944153	0.000215933004325623	0.903	0.683
WSB1	0.115473415650176	4.63293981576337e-34	0.214097866809757	0.000217639114220974	0.76	0.506
PHC2	0.233258810131229	2.21310135257274e-70	0.235262829512649	0.000226868038425109	0.58	0.332
SLC8A1	0.178697039745144	4.34072983015688e-26	0.14146745123705	0.000231685650249259	0.96	0.845
TBC1D9	0.234577177643113	1.2523642315232e-79	0.223199340286367	0.000233868970192616	0.498	0.265
PHC3	0.224461099380516	1.53548426836268e-79	0.254525615217824	0.000240220949202095	0.527	0.279
ENTPD1	0.273828184878104	7.89944316250172e-71	0.255867901254751	0.000253311803785493	0.673	0.416
ATP8B4	0.245055604308554	2.50502415642491e-58	0.160899005700814	0.00026227054747061	0.902	0.668
SCIN	0.345923450887964	4.63421319320118e-84	0.317463344391183	0.000273659471630983	0.362	0.175
KCNK13	0.239924338891909	9.13810432589032e-58	0.23244883519538	0.000302534738581502	0.49	0.289
FOXN3	0.296435277679564	2.50992478844365e-71	0.161439863334169	0.0003052725680449	0.971	0.825
RANBP9	0.229170038164431	5.54281039232512e-77	0.256383096746792	0.000321343778779069	0.506	0.272
FAM135A	0.202628645065832	1.64703694779803e-66	0.245727903726343	0.000324612810255549	0.586	0.337
PELI1	0.273054757193414	7.09051956550378e-76	0.22186347295606	0.000353639152100775	0.593	0.339
SRGN	0.13371720000018	1.15945288775796e-28	0.407057263465217	0.000417983864590974	0.402	0.258
