panel	gene
microglia_homeostatic	P2RY12
microglia_homeostatic	CX3CR1
microglia_homeostatic	TMEM119
microglia_homeostatic	CSF1R
microglia_homeostatic	AIF1
microglia_homeostatic	C1QA
microglia_homeostatic	C1QB
microglia_homeostatic	C1QC
microglia_homeostatic	TREM2
microglia_homeostatic	TYROBP
microglia_homeostatic	MERTK
microglia_homeostatic	FCER1G
microglia_activation	SPP1
microglia_activation	GAS6
microglia_activation	APOE
microglia_activation	CD74
microglia_activation	C3
microglia_activation	LGALS3
microglia_activation	GPNMB
microglia_activation	LPL
microglia_activation	FABP5
microglia_activation	CTSB
microglia_activation	CTSD
microglia_activation	ABCA1
microglia_activation	MSR1
neuronal_synaptic	NRG3
neuronal_synaptic	RBFOX1
neuronal_synaptic	LRRTM4
neuronal_synaptic	KCNIP4
neuronal_synaptic	LRP1B
neuronal_synaptic	CNTNAP2
neuronal_synaptic	CSMD1
neuronal_synaptic	SYT1
neuronal_synaptic	ROBO2
neuronal_synaptic	CADM2
neuronal_synaptic	GPM6A
neuronal_synaptic	LSAMP
neuronal_synaptic	DPP10
neuronal_synaptic	NRXN3
neuronal_synaptic	DLGAP1
neuronal_synaptic	PCDH9
neuronal_synaptic	DLG2
neuronal_synaptic	SNAP25
neuronal_synaptic	STMN2
neuronal_synaptic	RBFOX3
astrocyte	GFAP
astrocyte	AQP4
astrocyte	ALDH1L1
astrocyte	SLC1A2
astrocyte	SLC1A3
astrocyte	GJA1
oligodendrocyte	MBP
oligodendrocyte	MOG
oligodendrocyte	PLP1
oligodendrocyte	MOBP
oligodendrocyte	MAG
oligodendrocyte	CNP
opc	PDGFRA
opc	VCAN
opc	PTPRZ1
opc	CSPG4
opc	OLIG1
opc	OLIG2
endothelial	CLDN5
endothelial	FLT1
endothelial	KDR
endothelial	VWF
endothelial	EPAS1
endothelial	ESAM
endothelial	RAMP2
lymphocyte	CD3D
lymphocyte	CD3E
lymphocyte	CD247
lymphocyte	TRBC1
lymphocyte	TRBC2
lymphocyte	THEMIS
lymphocyte	MS4A1
lymphocyte	CD79A
lymphocyte	CD79B
lymphocyte	IGHM
lymphocyte	PAX5
