gene	avg_expr_cluster_0	avg_expr_cluster_2	pct_exp_cluster_0	pct_exp_cluster_2	avg_expr_diff_2_minus_0	pct_exp_diff_2_minus_0
MERTK	1.43749125435899	1.90169643031722	0.596732026143791	0.842748091603053	0.464205175958239	0.246016065459263
P2RY12	1.20213922281664	1.65202756310087	0.484500466853408	0.722137404580153	0.449888340284225	0.237636937726745
CX3CR1	0.695041901603887	1.03430549088191	0.304575163398693	0.522137404580153	0.339263589278025	0.21756224118146
PCDH9	1.7929331697765	1.47640343403134	0.709430438842204	0.737404580152672	-0.316529735745157	0.0279741413104682
GPM6A	1.35618626829642	1.0597385740126	0.562745098039216	0.563664122137405	-0.296447694283819	0.000919024098188892
KCNIP4	1.73558914422729	1.44297110048659	0.699346405228758	0.733129770992366	-0.292618043740703	0.0337833657636083
C3	1.34215342751732	1.61184659461714	0.56844070961718	0.774656488549618	0.269693167099819	0.206215778932438
RBFOX1	1.55784027657582	1.29517510224809	0.647992530345472	0.691297709923664	-0.262665174327727	0.0433051795781926
SYT1	1.72104842462672	1.46393726519212	0.67563025210084	0.717557251908397	-0.257111159434607	0.0419269998075565
LSAMP	1.2251161195415	0.989080029898507	0.549579831932773	0.570381679389313	-0.23603608964299	0.0208018474565398
CADM2	1.46128800600491	1.22798217189116	0.626143790849673	0.670534351145038	-0.23330583411375	0.0443905602953649
CSMD1	1.39028841103348	1.15714111900625	0.604201680672269	0.660458015267176	-0.233147292027234	0.0562563345949068
LRRTM4	1.26099769891598	1.04198528995608	0.557142857142857	0.590839694656489	-0.219012408959899	0.0336968375136314
NRXN3	1.24302321936321	1.0389837340972	0.556302521008403	0.601832061068702	-0.204039485266008	0.0455295400602989
NRG3	1.09564432627401	0.898995446318214	0.50952380952381	0.540152671755725	-0.196648879955795	0.0306288622319157
LRP1B	1.15701586269035	0.960673961531059	0.529411764705882	0.572213740458015	-0.196341901159294	0.042801975752133
CD74	0.526362745257215	0.716867839483492	0.267413632119514	0.450381679389313	0.190505094226277	0.182968047269799
CNTNAP2	1.31916748811266	1.1372034814441	0.581325863678805	0.641221374045801	-0.181964006668555	0.0598955103669966
ROBO2	1.06330746470906	0.882430017193391	0.491223155929038	0.52793893129771	-0.180877447515666	0.0367157753686717
GAS6	0.293163095988988	0.469250238129326	0.161904761904762	0.341374045801527	0.176087142140339	0.179469283896765
DLGAP1	0.972313855015971	0.798686811237979	0.460971055088702	0.499847328244275	-0.173627043777992	0.0388762731555726
DPP10	1.0690835950391	0.897248745801845	0.490756302521008	0.545648854961832	-0.171834849237257	0.0548925524408236
APOE	1.15210564880025	1.02524351342173	0.447245564892624	0.498625954198473	-0.126862135378526	0.0513803893058495
DLG2	1.49033067471569	1.37382197719916	0.629971988795518	0.712671755725191	-0.116508697516539	0.0826997669296726
TMEM119	0.0738792515997822	0.1336754360788	0.042390289449113	0.105954198473282	0.0597961844790173	0.0635639090241695
SPP1	1.53672302535707	1.59066498124999	0.493930905695612	0.565190839694656	0.0539419558929193	0.0712599339990448
