TF	candidate_n_libs	candidate_best_adjP	candidate_aggregate_score	pooledUp_n_libs	pooledUp_best_adjP	pooledUp_aggregate_score	joint_score	highlight
FOXA1	2	0.000430818976305864	18.3689774804528	2	5.45901482836521e-12	44.765123507628	63.1341009880808	FALSE
AR	3	8.17548504358243e-10	30.3931433139507	3	1.9014208336987e-09	27.9586843556675	58.3518276696183	FALSE
STAT3	3	5.19435066474568e-09	27.56937913187	3	6.83776552728401e-06	26.8595335220958	54.4289126539658	TRUE
SOX2	2	0.000717332823730857	17.4585903008663	2	2.62357860195388e-07	34.1655442139357	51.624134514802	FALSE
SPI1	3	1.76655174360636e-07	23.4146537113872	3	9.64438212870638e-08	27.1835588821024	50.5982125934896	TRUE
NR3C1	2	7.6899365846613e-09	23.1155201022563	2	4.86752463766401e-11	19.7441606165253	42.8596807187817	TRUE
PPARG	2	2.13544358845514e-08	17.2204805781565	3	7.61873972793534e-09	24.0373039320361	41.2577845101926	TRUE
AF4	1	1.33332086752364e-14	20.8447767608997	1	5.56472584389906e-15	19.3564309827834	40.2012077436831	FALSE
CEBPB	2	0.000203836711276449	18.2108197199648	3	6.32889795757522e-06	21.0216020306512	39.232421750616	TRUE
NANOG	3	0.000497791966427658	14.6429732454644	3	0.00011111745419901	23.1611976827526	37.804170928217	FALSE
RUNX1	2	0.000418907708281169	12.5780419812174	2	8.23234856631794e-07	25.1315047363008	37.7095467175182	FALSE
GATA1	2	2.3048592832017e-05	17.194815552445	3	0.000716055112523623	14.5861516665862	31.7809672190312	FALSE
SMAD4	2	8.73432138823805e-08	19.6924895333898	3	7.77661459717352e-06	10.8056198500363	30.498109383426	FALSE
GATA2	2	0.000992989054730512	12.311656194108	3	0.000180421365161182	17.6625872387196	29.9742434328276	FALSE
ESR1	3	3.79107487618299e-07	14.3885033899116	3	3.40119396706533e-05	15.5692127831677	29.9577161730793	FALSE
