TF	n_libraries_supported	best_adjusted_p	best_combined_score	supporting_libraries	best_term	aggregate_score
AR	3	8.17548504358243e-10	139.875824331589	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	AR 22383394 ChIP-Seq PROSTATE CANCER Human	30.3931433139507
STAT3	3	5.19435066474568e-09	128.506224716567	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	STAT3 23295773 ChIP-Seq U87 Human	27.56937913187
SPI1	3	1.76655174360636e-07	99.9000131671771	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X;TRRUST_Transcription_Factors_2019	SPI1 22096565 ChIP-ChIP GC-B Mouse	23.4146537113872
NR3C1	2	7.6899365846613e-09	90.6015482911253	ChEA_2022;TRRUST_Transcription_Factors_2019	NR3C1 27076634 ChIP-Seq BEAS2B Human Lung Inflammation	23.1155201022563
AF4	1	1.33332086752364e-14	233.578650074523	ChEA_2022	AF4 26711339 ChIP-Seq SEM Human Blood Leukemia	20.8447767608997
SMAD4	2	8.73432138823805e-08	111.943716380095	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SMAD4 21799915 ChIP-Seq A2780 Human	19.6924895333898
SUZ12	2	1.36990390026526e-05	41.5274622704742	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SUZ12 20075857 ChIP-Seq MESCs Mouse	18.417469770859
FOXA1	2	0.000430818976305864	24.7264173917583	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	FOXA1 27270436 ChIP-Seq VCaP Human Prostate Carcinoma	18.3689774804528
CEBPB	2	0.000203836711276449	35.3070724570655	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	CEBPB 21427703 ChIP-Seq 3T3-L1 Mouse	18.2108197199648
SOX2	2	0.000717332823730857	27.6008688399803	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	SOX2 21211035 ChIP-Seq LN229 Gbm	17.4585903008663
PPARG	2	2.13544358845514e-08	120.546948787031	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	PPARG 20176806 ChIP-Seq MACROPHAGES Mouse	17.2204805781565
GATA1	2	2.3048592832017e-05	78.3204947866311	ChEA_2022;ENCODE_and_ChEA_Consensus_TFs_from_ChIP-X	GATA1 21571218 ChIP-Seq MEGAKARYOCYTES Human	17.194815552445
